"","x"
"1204","BRCA2"
"1205","BRCA2"
"1206","BRCA2"
"1207","BRCA2"
"1208","BRCA2"
"1209","BRCA2"
"1210","BRCA2"
"1211","BRCA2"
"1212","BRCA2"
"1213","BRCA2"
"1214","BRCA2"
"1215","BRCA2"
"1216","BRCA2"
"1217","BRCA2"
"1218","BRCA2"
"1219","BRCA2"
"1220","BRCA2"
"1221","BRCA2"
"1222","BRCA2"
"1223","BRCA2"
"1224","BRCA2"
"1225","BRCA2"
"1226","BRCA2"
"1227","BRCA2"
"1228","BRCA2"
"1229","BRCA2"
"1230","BRCA2"
"1231","BRCA2"
"1232","BRCA2"
"1233","BRCA2"
"1234","BRCA2"
"1235","BRCA2"
"1236","BRCA2"
"1237","BRCA2"
"1238","BRCA2"
"1239","BRCA2"
"1240","BRCA2"
"1241","BRCA2"
"1242","BRCA2"
"1243","BRCA2"
"1244","BRCA2"
"1245","BRCA2"
"1246","BRCA2"
"1247","BRCA2"
"1248","BRCA2"
"1249","BRCA2"
"1250","BRCA2"
"1251","BRCA2"
"1252","BRCA2"
"1253","BRCA2"
"1254","BRCA2"
"1255","BRCA2"
"1256","BRCA2"
"1257","BRCA2"
"1258","BRCA2"
"1259","BRCA2"
"1260","BRCA2"
"1261","BRCA2"
"1262","BRCA2"
"1263","BRCA2"
"1264","BRCA2"
"1265","BRCA2"
"1266","BRCA2"
"1267","BRCA2"
"1268","BRCA2"
"1269","BRCA2"
"1270","BRCA2"
"1271","BRCA2"
"1272","BRCA2"
"1273","BRCA2"
"1274","BRCA2"
"1275","BRCA2"
"1276","BRCA2"
"1277","BRCA2"
"1278","BRCA2"
"1279","BRCA2"
"1280","BRCA2"
"1281","BRCA2"
"1282","BRCA2"
"1283","BRCA2"
"1284","BRCA2"
"1285","BRCA2"
"1286","BRCA2"
"1287","BRCA2"
"1288","BRCA2"
"1289","BRCA2"
"1290","BRCA2"
"1291","BRCA2"
"1292","BRCA2"
"1293","BRCA2"
"1294","BRCA2"
"1295","BRCA2"
"1296","BRCA2"
"1297","BRCA2"
"1298","BRCA2"
"1299","BRCA2"
"1300","BRCA2"
"1301","BRCA2"
"1302","BRCA2"
"1303","BRCA2"
"1304","BRCA2"
"1305","BRCA2"
"1306","BRCA2"
"1307","BRCA2"
"1308","BRCA2"
"1309","BRCA2"
"1310","BRCA2"
"1311","BRCA2"
"1312","BRCA2"
